file_path,run_dir,phase,task,method,seed,source_type,step_column,reward_columns,cost_columns,usable,reason
/root/autodl-tmp/star_v2_storage/logs/star_v2_final/ablation_100k/starv2_ablation_100k_SafetyCarGoal1_v0_endpoint_fix_positive_linear_star_v2_s20.log,,ablation_100k,SafetyCarGoal1-v0,star_v2,20,log,step,episode_reward,episode_cost,True,
/root/autodl-tmp/star_v2_storage/logs/star_v2_final/ablation_100k/starv2_ablation_100k_SafetyCarGoal1_v0_endpoint_fix_positive_linear_star_v2_s21.log,,ablation_100k,SafetyCarGoal1-v0,star_v2,21,log,step,episode_reward,episode_cost,True,
/root/autodl-tmp/star_v2_storage/logs/star_v2_final/ablation_100k/starv2_ablation_100k_SafetyCarGoal1_v0_endpoint_fix_positive_linear_star_v2_s22.log,,ablation_100k,SafetyCarGoal1-v0,star_v2,22,log,step,episode_reward,episode_cost,True,
/root/autodl-tmp/star_v2_storage/logs/star_v2_final/ablation_100k/starv2_ablation_100k_SafetyCarGoal1_v0_original_legacy_linear_star_v2_s20.log,,ablation_100k,SafetyCarGoal1-v0,star_v2,20,log,step,episode_reward,episode_cost,True,
/root/autodl-tmp/star_v2_storage/logs/star_v2_final/ablation_100k/starv2_ablation_100k_SafetyCarGoal1_v0_original_legacy_linear_star_v2_s21.log,,ablation_100k,SafetyCarGoal1-v0,star_v2,21,log,step,episode_reward,episode_cost,True,
/root/autodl-tmp/star_v2_storage/logs/star_v2_final/ablation_100k/starv2_ablation_100k_SafetyCarGoal1_v0_original_legacy_linear_star_v2_s22.log,,ablation_100k,SafetyCarGoal1-v0,star_v2,22,log,step,episode_reward,episode_cost,True,
/root/autodl-tmp/star_v2_storage/logs/star_v2_final/ablation_100k/starv2_ablation_100k_SafetyCarGoal1_v0_penalty_fix_legacy_squared_star_v2_s20.log,,ablation_100k,SafetyCarGoal1-v0,star_v2,20,log,step,episode_reward,episode_cost,True,
/root/autodl-tmp/star_v2_storage/logs/star_v2_final/ablation_100k/starv2_ablation_100k_SafetyCarGoal1_v0_penalty_fix_legacy_squared_star_v2_s21.log,,ablation_100k,SafetyCarGoal1-v0,star_v2,21,log,step,episode_reward,episode_cost,True,
/root/autodl-tmp/star_v2_storage/logs/star_v2_final/ablation_100k/starv2_ablation_100k_SafetyCarGoal1_v0_penalty_fix_legacy_squared_star_v2_s22.log,,ablation_100k,SafetyCarGoal1-v0,star_v2,22,log,step,episode_reward,episode_cost,True,
/root/autodl-tmp/star_v2_storage/logs/star_v2_final/ablation_100k/starv2_ablation_100k_SafetyCarGoal1_v0_star_v2_positive_squared_star_v2_s20.log,,ablation_100k,SafetyCarGoal1-v0,star_v2,20,log,step,episode_reward,episode_cost,True,
/root/autodl-tmp/star_v2_storage/logs/star_v2_final/ablation_100k/starv2_ablation_100k_SafetyCarGoal1_v0_star_v2_positive_squared_star_v2_s21.log,,ablation_100k,SafetyCarGoal1-v0,star_v2,21,log,step,episode_reward,episode_cost,True,
/root/autodl-tmp/star_v2_storage/logs/star_v2_final/ablation_100k/starv2_ablation_100k_SafetyCarGoal1_v0_star_v2_positive_squared_star_v2_s22.log,,ablation_100k,SafetyCarGoal1-v0,star_v2,22,log,step,episode_reward,episode_cost,True,
/root/autodl-tmp/star_v2_storage/logs/star_v2_final/ablation_100k/starv2_ablation_100k_SafetyPointGoal1_v0_endpoint_fix_positive_linear_star_v2_s20.log,,ablation_100k,SafetyPointGoal1-v0,star_v2,20,log,step,episode_reward,episode_cost,True,
